Observation,Label,Prediction,Threshold,Explanation,Change
0,False,0.0969341558261415,0.5,0,No Explanation
1,False,0.13744471353898155,0.5,0,No Explanation
2,False,0.09836697708969255,0.5,0,No Explanation
3,True,0.2199379804646717,0.5,0,No Explanation
4,False,0.09822448942866722,0.5,0,No Explanation
5,False,0.32090391555665454,0.5,0,No Explanation
6,False,0.13260438339564343,0.5,0,No Explanation
7,False,0.17252083431389645,0.5,0,No Explanation
8,True,0.3068064687105595,0.5,0,No Explanation
9,False,0.2124104259343727,0.5,0,No Explanation
10,True,0.29056793911655415,0.5,0,No Explanation
11,False,0.2070604989390666,0.5,0,No Explanation
12,False,0.45308006803942874,0.5,0,No Explanation
13,False,0.12142214268517376,0.5,0,No Explanation
14,False,0.044608514700573615,0.5,0,No Explanation
15,False,0.10214415305483694,0.5,0,No Explanation
16,True,0.11450585096167162,0.5,0,No Explanation
17,False,0.11901274758302227,0.5,0,No Explanation
18,False,0.1256428206759725,0.5,0,No Explanation
19,False,0.05090148287667856,0.5,0,No Explanation
20,False,0.11012071979896867,0.5,0,No Explanation
21,True,0.20484815781262108,0.5,0,No Explanation
22,False,0.04588508214379119,0.5,0,No Explanation
23,False,0.1005742961561931,0.5,0,No Explanation
24,False,0.10998307593293123,0.5,0,No Explanation
25,False,0.3216365275277144,0.5,0,No Explanation
26,False,0.1177660020850678,0.5,0,No Explanation
27,True,0.268419234135161,0.5,0,No Explanation
28,False,0.2604449208739646,0.5,0,No Explanation
29,False,0.1606676861066774,0.5,0,No Explanation
30,False,0.18229218402318106,0.5,0,No Explanation
31,False,0.15088054559325279,0.5,0,No Explanation
32,True,0.0891047564044234,0.5,0,No Explanation
33,False,0.15253357601925766,0.5,0,No Explanation
34,False,0.4686102015951348,0.5,0,No Explanation
35,True,0.163197930454517,0.5,0,No Explanation
36,True,0.24913502939328738,0.5,0,No Explanation
37,False,0.15872759261454988,0.5,0,No Explanation
38,False,0.5527975443617363,0.5,1,home_ownership::nan from 0.0 to 1.0
38,False,0.5527975443617363,0.5,2,purpose::small_business from 0.0 to 1.0
38,False,0.5527975443617363,0.5,3,purpose::major_purchase from 1.0 to 0.0
38,False,0.5527975443617363,0.5,4,verification_status::Not Verified from 1.0 to 0.0
38,False,0.5527975443617363,0.5,5,emp_length::9 years from 0.0 to 1.0
38,False,0.5527975443617363,0.5,6,open_acc from 0.03580429303901973 to 0.2093490759247994
38,False,0.5527975443617363,0.5,6,home_ownership::ANY from 1.0 to 0.0
38,False,0.5527975443617363,0.5,7,open_acc from 0.03580429303901973 to 0.2093490759247994
38,False,0.5527975443617363,0.5,7,pub_rec from 1.0 to 0.0
39,False,0.07723242649678332,0.5,0,No Explanation
40,False,0.04686174169680932,0.5,0,No Explanation
41,False,0.24261524769461404,0.5,0,No Explanation
42,False,0.2497747358542825,0.5,0,No Explanation
43,False,0.11222415196760113,0.5,0,No Explanation
44,False,0.0961626974217709,0.5,0,No Explanation
45,False,0.2161475127396432,0.5,0,No Explanation
46,True,0.11736044139578078,0.5,0,No Explanation
47,False,0.15860699049732227,0.5,0,No Explanation
48,False,0.09632421678626213,0.5,0,No Explanation
49,False,0.13849410948339827,0.5,0,No Explanation
50,False,0.09113046550410336,0.5,0,No Explanation
51,False,0.05710777016282077,0.5,0,No Explanation
52,False,0.14415354993138185,0.5,0,No Explanation
53,False,0.23510952394922377,0.5,0,No Explanation
54,False,0.08141860721114219,0.5,0,No Explanation
55,False,0.2263899525848791,0.5,0,No Explanation
56,False,0.22542703798575756,0.5,0,No Explanation
57,False,0.13383974711723187,0.5,0,No Explanation
58,True,0.19377342659382227,0.5,0,No Explanation
59,False,0.17133269085819397,0.5,0,No Explanation
60,True,0.11833972963040965,0.5,0,No Explanation
61,True,0.1780023706744164,0.5,0,No Explanation
62,False,0.16847159564338884,0.5,0,No Explanation
63,False,0.508327125394706,0.5,1,home_ownership::nan from 0.0 to 1.0
63,False,0.508327125394706,0.5,2,purpose::small_business from 0.0 to 1.0
63,False,0.508327125394706,0.5,3,verification_status::Not Verified from 1.0 to 0.0
63,False,0.508327125394706,0.5,4,dti from 0.026881720430107503 to 0.19066003584229377
63,False,0.508327125394706,0.5,5,open_acc from 0.019987833492656648 to 0.2093490759247994
63,False,0.508327125394706,0.5,6,revol_bal from 0.027027027027027195 to 0.1916900900900903
63,False,0.508327125394706,0.5,7,home_ownership::ANY from 1.0 to 0.0
64,False,0.1499096871679143,0.5,0,No Explanation
65,False,0.14008961602082262,0.5,0,No Explanation
66,False,0.05241042788544745,0.5,0,No Explanation
67,True,0.29358221406894175,0.5,0,No Explanation
68,False,0.43839127407730427,0.5,0,No Explanation
69,False,0.30241394043724573,0.5,0,No Explanation
70,False,0.18225217036388577,0.5,0,No Explanation
71,False,0.11485884298628878,0.5,0,No Explanation
72,False,0.4622313901009974,0.5,0,No Explanation
73,True,0.5947403043125628,0.5,1,home_ownership::nan from 0.0 to 1.0
73,True,0.5947403043125628,0.5,2,emp_length::6 years from 1.0 to 0.0
73,True,0.5947403043125628,0.5,3,purpose::small_business from 0.0 to 1.0
73,True,0.5947403043125628,0.5,3,verification_status::Not Verified from 1.0 to 0.0
73,True,0.5947403043125628,0.5,4,open_acc from 0.04114886590770836 to 0.2093490759247994
73,True,0.5947403043125628,0.5,4,purpose::small_business from 0.0 to 1.0
73,True,0.5947403043125628,0.5,5,dti from 0.10752688172043001 to 0.19066003584229377
73,True,0.5947403043125628,0.5,5,purpose::small_business from 0.0 to 1.0
73,True,0.5947403043125628,0.5,6,purpose::small_business from 0.0 to 1.0
73,True,0.5947403043125628,0.5,6,home_ownership::ANY from 1.0 to 0.0
73,True,0.5947403043125628,0.5,7,revol_bal from 0.10810810810810834 to 0.1916900900900903
73,True,0.5947403043125628,0.5,7,purpose::small_business from 0.0 to 1.0
73,True,0.5947403043125628,0.5,8,open_acc from 0.04114886590770836 to 0.2093490759247994
73,True,0.5947403043125628,0.5,8,verification_status::Not Verified from 1.0 to 0.0
73,True,0.5947403043125628,0.5,9,dti from 0.10752688172043001 to 0.19066003584229377
73,True,0.5947403043125628,0.5,9,verification_status::Not Verified from 1.0 to 0.0
74,False,0.21548639707826928,0.5,0,No Explanation
75,False,0.1569794558198992,0.5,0,No Explanation
76,False,0.2045249949572938,0.5,0,No Explanation
77,True,0.1698001345098938,0.5,0,No Explanation
78,True,0.1723070427074129,0.5,0,No Explanation
79,False,0.2765743772350634,0.5,0,No Explanation
80,False,0.0321726658604801,0.5,0,No Explanation
81,True,0.45357200077752974,0.5,0,No Explanation
82,False,0.08233558416678799,0.5,0,No Explanation
83,False,0.14552495695061618,0.5,0,No Explanation
84,False,0.20494729760031105,0.5,0,No Explanation
85,True,0.19381862204256184,0.5,0,No Explanation
86,False,0.2088673323889201,0.5,0,No Explanation
87,True,0.32452768619700717,0.5,0,No Explanation
88,False,0.1539739604942216,0.5,0,No Explanation
89,False,0.20604115088658517,0.5,0,No Explanation
90,True,0.5267937087641924,0.5,1,home_ownership::nan from 0.0 to 1.0
90,True,0.5267937087641924,0.5,2,purpose::small_business from 0.0 to 1.0
90,True,0.5267937087641924,0.5,3,purpose::major_purchase from 1.0 to 0.0
90,True,0.5267937087641924,0.5,4,verification_status::Not Verified from 1.0 to 0.0
90,True,0.5267937087641924,0.5,5,emp_length::9 years from 0.0 to 1.0
90,True,0.5267937087641924,0.5,6,dti from 0.13440860215053752 to 0.19066003584229377
90,True,0.5267937087641924,0.5,6,home_ownership::ANY from 1.0 to 0.0
90,True,0.5267937087641924,0.5,7,revol_bal from 0.13513513513513553 to 0.1916900900900903
90,True,0.5267937087641924,0.5,7,home_ownership::ANY from 1.0 to 0.0
90,True,0.5267937087641924,0.5,8,delinq_2yrs from 0.49506172839506174 to 0.3236586851851852
90,True,0.5267937087641924,0.5,8,fico_range_high from 1.0 to 0.0
90,True,0.5267937087641924,0.5,8,home_ownership::ANY from 1.0 to 0.0
91,False,0.0774478837221891,0.5,0,No Explanation
92,False,0.501331745993704,0.5,1,home_ownership::nan from 0.0 to 1.0
92,False,0.501331745993704,0.5,2,purpose::small_business from 0.0 to 1.0
92,False,0.501331745993704,0.5,3,verification_status::Not Verified from 1.0 to 0.0
92,False,0.501331745993704,0.5,4,dti from 0.0 to 0.19066003584229377
92,False,0.501331745993704,0.5,5,emp_length::9 years from 0.0 to 1.0
92,False,0.501331745993704,0.5,6,revol_bal from 0.0 to 0.1916900900900903
92,False,0.501331745993704,0.5,7,open_acc from 0.047710089510732606 to 0.2093490759247994
92,False,0.501331745993704,0.5,8,home_ownership::ANY from 1.0 to 0.0
92,False,0.501331745993704,0.5,9,loan_amnt from 0.1111111111111111 to 0.01732592592592593
92,False,0.501331745993704,0.5,10,purpose::home_improvement from 1.0 to 0.0
93,False,0.2124116745338999,0.5,0,No Explanation
94,False,0.09588228433265326,0.5,0,No Explanation
95,True,0.47757788857331795,0.5,0,No Explanation
96,False,0.2027170949423359,0.5,0,No Explanation
97,False,0.27667347083083266,0.5,0,No Explanation
98,True,0.40750746412064587,0.5,0,No Explanation
99,False,0.0929743824980017,0.5,0,No Explanation
100,True,0.5502110162975699,0.5,1,home_ownership::nan from 0.0 to 1.0
100,True,0.5502110162975699,0.5,2,purpose::small_business from 0.0 to 1.0
100,True,0.5502110162975699,0.5,3,purpose::major_purchase from 1.0 to 0.0
100,True,0.5502110162975699,0.5,4,verification_status::Not Verified from 1.0 to 0.0
100,True,0.5502110162975699,0.5,5,emp_length::9 years from 0.0 to 1.0
100,True,0.5502110162975699,0.5,6,open_acc from 0.02650560528374034 to 0.2093490759247994
100,True,0.5502110162975699,0.5,6,home_ownership::ANY from 1.0 to 0.0
100,True,0.5502110162975699,0.5,7,open_acc from 0.02650560528374034 to 0.2093490759247994
100,True,0.5502110162975699,0.5,7,revol_util from 1.0 to 0.0
101,False,0.3576684146686651,0.5,0,No Explanation
102,False,0.15386168824400184,0.5,0,No Explanation
103,False,0.29699038166595454,0.5,0,No Explanation
104,True,0.49223875100670283,0.5,0,No Explanation
105,True,0.17521303585428494,0.5,0,No Explanation
106,False,0.11692989939763374,0.5,0,No Explanation
107,False,0.15908494721667807,0.5,0,No Explanation
108,False,0.12013051465948514,0.5,0,No Explanation
109,False,0.40036610070468137,0.5,0,No Explanation
110,False,0.09620931885712558,0.5,0,No Explanation
111,False,0.11056378160181833,0.5,0,No Explanation
112,False,0.05835480604671981,0.5,0,No Explanation
113,True,0.15107206544208712,0.5,0,No Explanation
114,False,0.1870592758751402,0.5,0,No Explanation
115,False,0.07882316748002276,0.5,0,No Explanation
116,False,0.08019851337610522,0.5,0,No Explanation
117,False,0.06326784644361688,0.5,0,No Explanation
118,False,0.09578314301536464,0.5,0,No Explanation
119,False,0.03587325512244551,0.5,0,No Explanation
120,False,0.093569184665086,0.5,0,No Explanation
121,False,0.26985720338783054,0.5,0,No Explanation
122,False,0.18872746249317673,0.5,0,No Explanation
123,False,0.2948368993063084,0.5,0,No Explanation
124,False,0.34951483357254315,0.5,0,No Explanation
125,False,0.2898375788367088,0.5,0,No Explanation
126,False,0.28682685709926053,0.5,0,No Explanation
127,False,0.28554901874754346,0.5,0,No Explanation
128,False,0.19517681366889567,0.5,0,No Explanation
129,False,0.2232961373143319,0.5,0,No Explanation
130,False,0.072591080947168,0.5,0,No Explanation
131,False,0.16908971635389752,0.5,0,No Explanation
132,False,0.1226260339496047,0.5,0,No Explanation
133,False,0.20571374475484505,0.5,0,No Explanation
134,False,0.2822585771559998,0.5,0,No Explanation
135,False,0.27656686504532074,0.5,0,No Explanation
136,False,0.5038261965270225,0.5,1,home_ownership::nan from 0.0 to 1.0
136,False,0.5038261965270225,0.5,2,purpose::small_business from 0.0 to 1.0
136,False,0.5038261965270225,0.5,3,purpose::major_purchase from 1.0 to 0.0
136,False,0.5038261965270225,0.5,4,verification_status::Not Verified from 1.0 to 0.0
136,False,0.5038261965270225,0.5,5,emp_length::9 years from 0.0 to 1.0
136,False,0.5038261965270225,0.5,6,home_ownership::ANY from 1.0 to 0.0
136,False,0.5038261965270225,0.5,7,open_acc from 0.1310506648127227 to 0.2093490759247994
137,False,0.19131737263780463,0.5,0,No Explanation
138,False,0.20562257531298583,0.5,0,No Explanation
139,False,0.3251517042148447,0.5,0,No Explanation
140,False,0.16275731049108896,0.5,0,No Explanation
141,False,0.3740592180161538,0.5,0,No Explanation
142,False,0.3973038367518896,0.5,0,No Explanation
143,False,0.15798008059286572,0.5,0,No Explanation
144,True,0.23551443398890365,0.5,0,No Explanation
145,False,0.37237837141672947,0.5,0,No Explanation
146,True,0.2850094788004288,0.5,0,No Explanation
147,False,0.0594077819219056,0.5,0,No Explanation
148,False,0.14476066711462424,0.5,0,No Explanation
149,False,0.11932003418455524,0.5,0,No Explanation
150,True,0.3001106406314239,0.5,0,No Explanation
151,False,0.09191153592553795,0.5,0,No Explanation
152,False,0.2377544208073905,0.5,0,No Explanation
153,True,0.1299926738484933,0.5,0,No Explanation
154,False,0.33801393070354585,0.5,0,No Explanation
155,False,0.04432334611719133,0.5,0,No Explanation
156,False,0.06463585182599249,0.5,0,No Explanation
157,False,0.2882939734155966,0.5,0,No Explanation
158,False,0.06628899134114614,0.5,0,No Explanation
159,True,0.27909107179179865,0.5,0,No Explanation
160,False,0.36892052907611356,0.5,0,No Explanation
161,False,0.17031352441444686,0.5,0,No Explanation
162,False,0.25260692851789407,0.5,0,No Explanation
163,False,0.3962914638872529,0.5,0,No Explanation
164,False,0.12392473965460242,0.5,0,No Explanation
165,True,0.16378530359104754,0.5,0,No Explanation
166,False,0.3439644435422837,0.5,0,No Explanation
167,False,0.17861788220086777,0.5,0,No Explanation
168,True,0.3461716953284874,0.5,0,No Explanation
169,True,0.06360098748612407,0.5,0,No Explanation
170,True,0.1659012706643524,0.5,0,No Explanation
171,False,0.2489436316198217,0.5,0,No Explanation
172,True,0.1072723028775599,0.5,0,No Explanation
173,False,0.34260329124430333,0.5,0,No Explanation
174,False,0.14574399533058544,0.5,0,No Explanation
175,False,0.09919413285218005,0.5,0,No Explanation
176,False,0.24971927053843673,0.5,0,No Explanation
177,False,0.06009313080669738,0.5,0,No Explanation
178,False,0.08759535004797436,0.5,0,No Explanation
179,False,0.20790363629118966,0.5,0,No Explanation
180,False,0.13277756795786674,0.5,0,No Explanation
181,False,0.15596780153698742,0.5,0,No Explanation
182,False,0.06001290658557873,0.5,0,No Explanation
183,False,0.21404630053331897,0.5,0,No Explanation
184,False,0.09804054370317572,0.5,0,No Explanation
185,False,0.32965994843292584,0.5,0,No Explanation
186,False,0.45025063464689835,0.5,0,No Explanation
187,False,0.0836700541467677,0.5,0,No Explanation
188,False,0.20829808899059366,0.5,0,No Explanation
189,False,0.08370337532190074,0.5,0,No Explanation
190,False,0.05421174460145251,0.5,0,No Explanation
191,False,0.09195229625087611,0.5,0,No Explanation
192,False,0.15345125151918823,0.5,0,No Explanation
193,False,0.04603067050579466,0.5,0,No Explanation
194,False,0.10931904802571989,0.5,0,No Explanation
195,False,0.2555610884535892,0.5,0,No Explanation
196,False,0.22548482620324076,0.5,0,No Explanation
197,False,0.1778597412451058,0.5,0,No Explanation
198,False,0.09146882931793517,0.5,0,No Explanation
199,False,0.05733301152026398,0.5,0,No Explanation
200,False,0.10963218474456729,0.5,0,No Explanation
201,True,0.22097359310424677,0.5,0,No Explanation
202,False,0.3370271751251194,0.5,0,No Explanation
203,False,0.03920911439693442,0.5,0,No Explanation
204,True,0.17877835571393857,0.5,0,No Explanation
205,False,0.1111618773639851,0.5,0,No Explanation
206,False,0.08202856327131684,0.5,0,No Explanation
207,False,0.06110794672003644,0.5,0,No Explanation
208,False,0.3532782176027266,0.5,0,No Explanation
209,False,0.06119126776202707,0.5,0,No Explanation
210,True,0.2104157893932959,0.5,0,No Explanation
211,False,0.08138130353330157,0.5,0,No Explanation
212,False,0.11085340442502976,0.5,0,No Explanation
213,False,0.16137902521993044,0.5,0,No Explanation
214,True,0.07079879644529426,0.5,0,No Explanation
215,False,0.17733361424030802,0.5,0,No Explanation
216,False,0.036144243495517835,0.5,0,No Explanation
217,False,0.298029687604315,0.5,0,No Explanation
218,False,0.11327588943074174,0.5,0,No Explanation
219,False,0.3675354537477351,0.5,0,No Explanation
220,True,0.17172055242694673,0.5,0,No Explanation
221,False,0.20956098078973356,0.5,0,No Explanation
222,False,0.09022384538310102,0.5,0,No Explanation
223,False,0.15886330060152207,0.5,0,No Explanation
224,False,0.12393407737629554,0.5,0,No Explanation
225,False,0.04650482285827928,0.5,0,No Explanation
226,True,0.46440245623163295,0.5,0,No Explanation
227,False,0.1861105049677445,0.5,0,No Explanation
228,False,0.1664776820482468,0.5,0,No Explanation
229,False,0.23389613289892727,0.5,0,No Explanation
230,False,0.182616702962097,0.5,0,No Explanation
231,False,0.18516539170796412,0.5,0,No Explanation
232,False,0.12904540245108553,0.5,0,No Explanation
233,False,0.11192162431628642,0.5,0,No Explanation
234,True,0.08450588413190198,0.5,0,No Explanation
235,False,0.24492607111141046,0.5,0,No Explanation
236,False,0.10066949431597653,0.5,0,No Explanation
237,False,0.27724393689886795,0.5,0,No Explanation
238,False,0.3500138844572204,0.5,0,No Explanation
239,False,0.24577175080601074,0.5,0,No Explanation
240,True,0.20238743381650098,0.5,0,No Explanation
241,True,0.09489687493430236,0.5,0,No Explanation
242,False,0.39341349630855066,0.5,0,No Explanation
243,False,0.12005173140615553,0.5,0,No Explanation
244,True,0.22389381411846804,0.5,0,No Explanation
245,False,0.07596312669058375,0.5,0,No Explanation
246,False,0.13490955689777984,0.5,0,No Explanation
247,True,0.08480185937389918,0.5,0,No Explanation
248,True,0.23367972897007114,0.5,0,No Explanation
249,True,0.33319739277830773,0.5,0,No Explanation
250,False,0.09737871568870184,0.5,0,No Explanation
251,False,0.05501477297665395,0.5,0,No Explanation
252,False,0.05721570377814245,0.5,0,No Explanation
253,False,0.16630061425886794,0.5,0,No Explanation
254,False,0.39208277483017906,0.5,0,No Explanation
255,False,0.24520347373222093,0.5,0,No Explanation
256,False,0.3511536521422067,0.5,0,No Explanation
257,True,0.11970722308546176,0.5,0,No Explanation
258,False,0.18505549353808695,0.5,0,No Explanation
259,False,0.18017340985169392,0.5,0,No Explanation
260,True,0.2044982072224529,0.5,0,No Explanation
261,False,0.0769355547245197,0.5,0,No Explanation
262,False,0.1857512207480912,0.5,0,No Explanation
263,False,0.3394335647326981,0.5,0,No Explanation
264,False,0.13633929443889234,0.5,0,No Explanation
265,True,0.09210810059142,0.5,0,No Explanation
266,False,0.08343617573597946,0.5,0,No Explanation
267,False,0.1337794609049833,0.5,0,No Explanation
268,False,0.16289634380438586,0.5,0,No Explanation
269,False,0.3683892838464983,0.5,0,No Explanation
270,True,0.09541426774028422,0.5,0,No Explanation
271,False,0.4229805647816734,0.5,0,No Explanation
272,False,0.30810894317226634,0.5,0,No Explanation
273,False,0.12884339705314057,0.5,0,No Explanation
274,True,0.17962113019198495,0.5,0,No Explanation
275,False,0.06690932579667562,0.5,0,No Explanation
276,False,0.31376604357960725,0.5,0,No Explanation
277,False,0.25572898428530166,0.5,0,No Explanation
278,False,0.2546677598198808,0.5,0,No Explanation
279,False,0.033121151645895096,0.5,0,No Explanation
280,False,0.08915854987587811,0.5,0,No Explanation
281,False,0.1909379758102886,0.5,0,No Explanation
282,False,0.03476163486937665,0.5,0,No Explanation
283,False,0.0617513853328356,0.5,0,No Explanation
284,False,0.10800406662757242,0.5,0,No Explanation
285,False,0.4633417588410931,0.5,0,No Explanation
286,False,0.09233786023027749,0.5,0,No Explanation
287,True,0.2481498201753861,0.5,0,No Explanation
288,False,0.05463024050373464,0.5,0,No Explanation
289,False,0.11320535091893962,0.5,0,No Explanation
290,True,0.1543494577684201,0.5,0,No Explanation
291,False,0.1658220472671101,0.5,0,No Explanation
292,False,0.1263775568087769,0.5,0,No Explanation
293,False,0.13784872653034297,0.5,0,No Explanation
294,False,0.06860896803232583,0.5,0,No Explanation
295,False,0.05077863492477526,0.5,0,No Explanation
296,False,0.10025930554423824,0.5,0,No Explanation
297,False,0.146546077244876,0.5,0,No Explanation
298,False,0.20863943423874728,0.5,0,No Explanation
299,False,0.16603505068541388,0.5,0,No Explanation
300,False,0.11680431486986782,0.5,0,No Explanation
301,False,0.10252386160548763,0.5,0,No Explanation
302,False,0.15136347823707352,0.5,0,No Explanation
303,False,0.12434157212643691,0.5,0,No Explanation
304,False,0.1152202828323539,0.5,0,No Explanation
305,True,0.2742338168684134,0.5,0,No Explanation
306,False,0.041742625037558136,0.5,0,No Explanation
307,False,0.08062985451914094,0.5,0,No Explanation
308,True,0.11621921163803053,0.5,0,No Explanation
309,False,0.12820196415207605,0.5,0,No Explanation
310,False,0.45364369215854816,0.5,0,No Explanation
311,False,0.1616359921638362,0.5,0,No Explanation
312,False,0.25570930136101544,0.5,0,No Explanation
313,True,0.3836962543565034,0.5,0,No Explanation
314,False,0.15414536485289196,0.5,0,No Explanation
315,True,0.3408936389383123,0.5,0,No Explanation
316,False,0.11927913694177579,0.5,0,No Explanation
317,False,0.10830729298823304,0.5,0,No Explanation
318,False,0.04770397632294683,0.5,0,No Explanation
319,False,0.057427325796087315,0.5,0,No Explanation
320,False,0.6266133388470934,0.5,1,home_ownership::nan from 0.0 to 1.0
320,False,0.6266133388470934,0.5,2,emp_length::6 years from 1.0 to 0.0
320,False,0.6266133388470934,0.5,3,purpose::house from 1.0 to 0.0
320,False,0.6266133388470934,0.5,3,purpose::small_business from 0.0 to 1.0
320,False,0.6266133388470934,0.5,4,purpose::house from 1.0 to 0.0
320,False,0.6266133388470934,0.5,4,verification_status::Not Verified from 1.0 to 0.0
320,False,0.6266133388470934,0.5,5,emp_length::9 years from 0.0 to 1.0
320,False,0.6266133388470934,0.5,5,purpose::house from 1.0 to 0.0
320,False,0.6266133388470934,0.5,6,annual_inc from 0.03571428571428571 to 0.007763095238095238
320,False,0.6266133388470934,0.5,6,purpose::house from 1.0 to 0.0
320,False,0.6266133388470934,0.5,7,funded_amnt from 0.203125 to 0.16569427083333332
320,False,0.6266133388470934,0.5,7,purpose::house from 1.0 to 0.0
321,False,0.23320212460578577,0.5,0,No Explanation
322,False,0.053022315894128196,0.5,0,No Explanation
323,True,0.2235353947042513,0.5,0,No Explanation
324,False,0.09938102703007731,0.5,0,No Explanation
325,False,0.1734725900287992,0.5,0,No Explanation
326,False,0.21094094937625524,0.5,0,No Explanation
327,False,0.2003985168166391,0.5,0,No Explanation
328,True,0.2571443700505797,0.5,0,No Explanation
329,False,0.4091325090098216,0.5,0,No Explanation
330,False,0.17123248479550912,0.5,0,No Explanation
331,False,0.1543198406870956,0.5,0,No Explanation
332,True,0.12846882322558223,0.5,0,No Explanation
333,True,0.32053981994687397,0.5,0,No Explanation
334,False,0.06080484604700441,0.5,0,No Explanation
335,False,0.12392648083870236,0.5,0,No Explanation
336,False,0.182363839677149,0.5,0,No Explanation
337,False,0.08071329550377865,0.5,0,No Explanation
338,False,0.1286688036097948,0.5,0,No Explanation
339,False,0.23770715446143434,0.5,0,No Explanation
340,True,0.11080056449367572,0.5,0,No Explanation
341,False,0.1839154565491743,0.5,0,No Explanation
342,False,0.1612400501884946,0.5,0,No Explanation
343,True,0.1081085401656036,0.5,0,No Explanation
344,False,0.13148155919022866,0.5,0,No Explanation
345,False,0.04521689285222129,0.5,0,No Explanation
346,False,0.4247385214392885,0.5,0,No Explanation
347,False,0.37597500276563656,0.5,0,No Explanation
348,True,0.4900584484925776,0.5,0,No Explanation
349,False,0.06534855442883075,0.5,0,No Explanation
350,False,0.07699660858240738,0.5,0,No Explanation
351,False,0.16513362842876156,0.5,0,No Explanation
352,False,0.27910727799405394,0.5,0,No Explanation
353,False,0.15793101764594966,0.5,0,No Explanation
354,False,0.10978103612534099,0.5,0,No Explanation
355,False,0.3132807972643729,0.5,0,No Explanation
356,False,0.4374643219388556,0.5,0,No Explanation
357,False,0.07557780145122316,0.5,0,No Explanation
358,False,0.0707323182268995,0.5,0,No Explanation
359,False,0.2475462636780309,0.5,0,No Explanation
360,False,0.18658244107782462,0.5,0,No Explanation
361,False,0.27219559233507346,0.5,0,No Explanation
362,False,0.011072779868340139,0.5,0,No Explanation
363,False,0.16837594181778628,0.5,0,No Explanation
364,False,0.32058658323158606,0.5,0,No Explanation
