Observation,Grade,Label,Prediction,Threshold,New Prediction,Explanation,Change
0,F,False,0.23489990619644696,0.5,,0,No Explanation
1,D,False,0.31992387994403587,0.5,,0,No Explanation
2,B,False,0.28627058591257876,0.5,,0,No Explanation
3,B,False,0.14042298411586832,0.5,,0,No Explanation
4,A,False,0.2516269571846395,0.5,,0,No Explanation
5,B,False,0.15326633357111297,0.5,,0,No Explanation
6,D,True,0.33930891525386375,0.5,,0,No Explanation
7,D,False,0.36710601740543397,0.5,,0,No Explanation
8,B,True,0.1632027844066415,0.5,,0,No Explanation
9,C,False,0.09248317333697502,0.5,,0,No Explanation
10,E,False,0.16153354720805185,0.5,,0,No Explanation
11,D,False,0.4035612186279556,0.5,,0,No Explanation
12,C,False,0.17426380289335036,0.5,,0,No Explanation
13,E,False,0.42623875015360374,0.5,,0,No Explanation
14,C,False,0.14723638775669337,0.5,,0,No Explanation
15,A,False,0.07887733026210615,0.5,,0,No Explanation
16,C,False,0.2560484271963863,0.5,,0,No Explanation
17,B,False,0.12478556917964186,0.5,,0,No Explanation
18,A,False,0.13330767250418907,0.5,,0,No Explanation
19,A,True,0.08852209962081709,0.5,,0,No Explanation
20,B,False,0.07768036260844775,0.5,,0,No Explanation
21,C,False,0.14258873939803252,0.5,,0,No Explanation
22,E,False,0.16406519531743075,0.5,,0,No Explanation
23,F,False,0.38074501472776573,0.5,,0,No Explanation
24,C,False,0.14367506165293614,0.5,,0,No Explanation
25,B,True,0.13309215661175525,0.5,,0,No Explanation
26,B,False,0.11638157618586631,0.5,,0,No Explanation
27,B,False,0.22744209360014903,0.5,,0,No Explanation
28,B,False,0.05954160904590206,0.5,,0,No Explanation
29,B,False,0.15298459372884804,0.5,,0,No Explanation
30,B,False,0.0620479365412718,0.5,,0,No Explanation
31,A,False,0.04354687498437277,0.5,,0,No Explanation
32,E,True,0.28839909612595593,0.5,,0,No Explanation
33,B,False,0.29147562862871107,0.5,,0,No Explanation
34,B,False,0.2888816295866466,0.5,,0,No Explanation
35,B,False,0.10029761148304546,0.5,,0,No Explanation
36,B,False,0.09467702274544347,0.5,,0,No Explanation
37,D,False,0.2510103368055577,0.5,,0,No Explanation
38,F,False,0.41811378283984435,0.5,,0,No Explanation
39,A,False,0.05090973571621903,0.5,,0,No Explanation
40,C,False,0.2883378031086562,0.5,,0,No Explanation
41,D,False,0.28833708658170526,0.5,,0,No Explanation
42,D,False,0.12113388523244602,0.5,,0,No Explanation
43,A,False,0.07747322710289609,0.5,,0,No Explanation
44,F,False,0.22832699530864087,0.5,,0,No Explanation
45,A,False,0.12829961688039226,0.5,,0,No Explanation
46,F,False,0.3394231269019105,0.5,,0,No Explanation
47,A,False,0.0718391576223022,0.5,,0,No Explanation
48,C,False,0.3168391348686376,0.5,,0,No Explanation
49,C,False,0.16168769905535285,0.5,,0,No Explanation
50,A,False,0.05328118420721251,0.5,,0,No Explanation
51,D,False,0.32492591378960217,0.5,,0,No Explanation
52,B,False,0.22335860082672765,0.5,,0,No Explanation
53,B,False,0.1615810995147957,0.5,,0,No Explanation
54,B,False,0.09199536398308569,0.5,,0,No Explanation
55,A,False,0.14768937255568246,0.5,,0,No Explanation
56,C,False,0.29185388192692446,0.5,,0,No Explanation
57,A,False,0.08939465234711519,0.5,,0,No Explanation
58,A,False,0.15206170428509416,0.5,,0,No Explanation
59,C,False,0.20373043629495577,0.5,,0,No Explanation
60,C,False,0.13544611208752624,0.5,,0,No Explanation
61,B,True,0.1938852679645158,0.5,,0,No Explanation
62,B,False,0.12740431668956412,0.5,,0,No Explanation
63,B,False,0.25412854624424147,0.5,,0,No Explanation
64,C,False,0.29794725453986975,0.5,,0,No Explanation
65,A,False,0.15628145525464673,0.5,,0,No Explanation
66,B,False,0.15029429316984735,0.5,,0,No Explanation
67,E,False,0.1684289276154313,0.5,,0,No Explanation
68,A,False,0.09417761391200424,0.5,,0,No Explanation
69,F,False,0.3266508422049101,0.5,,0,No Explanation
70,C,False,0.21185807253186126,0.5,,0,No Explanation
71,E,False,0.3707775541572979,0.5,,0,No Explanation
72,A,False,0.03777554025964866,0.5,,0,No Explanation
73,A,False,0.09102198535701964,0.5,,0,No Explanation
74,E,True,0.1487954275854228,0.5,,0,No Explanation
75,B,False,0.09824047419955796,0.5,,0,No Explanation
76,C,False,0.1527910704096284,0.5,,0,No Explanation
77,D,False,0.3086681211237319,0.5,,0,No Explanation
78,A,False,0.061386961883375536,0.5,,0,No Explanation
79,C,False,0.25068141234585073,0.5,,0,No Explanation
80,A,False,0.04762177089603161,0.5,,0,No Explanation
81,A,False,0.08237137060214253,0.5,,0,No Explanation
82,C,False,0.2018590766252812,0.5,,0,No Explanation
83,C,False,0.20379507815948866,0.5,,0,No Explanation
84,B,False,0.13658392844912284,0.5,,0,No Explanation
85,E,False,0.28022245967273174,0.5,,0,No Explanation
86,B,False,0.2018792085457082,0.5,,0,No Explanation
87,A,False,0.02506447427455831,0.5,,0,No Explanation
88,B,False,0.18071902829925934,0.5,,0,No Explanation
89,C,False,0.23233711388785094,0.5,,0,No Explanation
90,D,False,0.3196735937308822,0.5,,0,No Explanation
91,B,False,0.1578450402749932,0.5,,0,No Explanation
92,C,False,0.3263763545871385,0.5,,0,No Explanation
93,A,False,0.11948101764576913,0.5,,0,No Explanation
94,D,False,0.30261550762243566,0.5,,0,No Explanation
95,C,False,0.23195266342807308,0.5,,0,No Explanation
96,B,False,0.06464358559519744,0.5,,0,No Explanation
97,B,False,0.16334704457977792,0.5,,0,No Explanation
98,B,False,0.16394915242263478,0.5,,0,No Explanation
99,D,False,0.44916279923469254,0.5,,0,No Explanation
100,B,True,0.3458341125945896,0.5,,0,No Explanation
101,D,False,0.13136324311011213,0.5,,0,No Explanation
102,C,False,0.2066787428087257,0.5,,0,No Explanation
103,D,True,0.24911419892697176,0.5,,0,No Explanation
104,A,False,0.04536464651026457,0.5,,0,No Explanation
105,C,False,0.3812357649519801,0.5,,0,No Explanation
106,A,False,0.04817907197844172,0.5,,0,No Explanation
107,A,False,0.08064468802984173,0.5,,0,No Explanation
108,A,False,0.037917575323590365,0.5,,0,No Explanation
109,B,False,0.17804070127806057,0.5,,0,No Explanation
110,D,False,0.09626910281322103,0.5,,0,No Explanation
111,A,False,0.0853461928981651,0.5,,0,No Explanation
112,B,True,0.20994926274232723,0.5,,0,No Explanation
113,D,False,0.15033187017386718,0.5,,0,No Explanation
114,C,False,0.1985953984458899,0.5,,0,No Explanation
115,A,False,0.22368375206567023,0.5,,0,No Explanation
116,A,False,0.06509979927228973,0.5,,0,No Explanation
117,B,False,0.10723980034228481,0.5,,0,No Explanation
118,A,False,0.03660245568025701,0.5,,0,No Explanation
119,C,False,0.1478516727083637,0.5,,0,No Explanation
120,C,False,0.148279856946141,0.5,,0,No Explanation
121,D,False,0.2033897062659132,0.5,,0,No Explanation
122,A,False,0.06793889990688019,0.5,,0,No Explanation
123,C,False,0.17185364817450982,0.5,,0,No Explanation
124,B,False,0.15277409345629758,0.5,,0,No Explanation
125,F,False,0.3484186104743309,0.5,,0,No Explanation
126,C,False,0.36542062719376595,0.5,,0,No Explanation
127,B,False,0.19990734098328197,0.5,,0,No Explanation
128,A,False,0.06989801633840664,0.5,,0,No Explanation
129,A,False,0.15471482961589494,0.5,,0,No Explanation
130,B,False,0.2618623512941559,0.5,,0,No Explanation
131,C,False,0.15897645202950672,0.5,,0,No Explanation
132,A,False,0.10095292140199766,0.5,,0,No Explanation
133,C,True,0.36192058938533256,0.5,,0,No Explanation
134,A,False,0.13880989097794133,0.5,,0,No Explanation
135,A,False,0.037817886490985754,0.5,,0,No Explanation
136,B,False,0.1657959435639895,0.5,,0,No Explanation
137,C,False,0.23999345525671723,0.5,,0,No Explanation
138,E,False,0.22785277987263192,0.5,,0,No Explanation
139,B,False,0.34325204860390696,0.5,,0,No Explanation
140,A,False,0.05263005461376987,0.5,,0,No Explanation
141,C,False,0.09315529770706098,0.5,,0,No Explanation
142,B,False,0.17658772454884064,0.5,,0,No Explanation
143,B,True,0.24648831208137745,0.5,,0,No Explanation
144,B,False,0.17357828881803652,0.5,,0,No Explanation
145,B,False,0.17189307606062407,0.5,,0,No Explanation
146,A,False,0.014396178534109568,0.5,,0,No Explanation
147,C,False,0.14193681584100068,0.5,,0,No Explanation
148,B,False,0.12505432357062113,0.5,,0,No Explanation
149,A,False,0.14369013637701464,0.5,,0,No Explanation
150,B,False,0.14264060143747678,0.5,,0,No Explanation
151,A,True,0.1568616585763673,0.5,,0,No Explanation
152,B,False,0.1993671023228036,0.5,,0,No Explanation
153,C,True,0.24150069151395961,0.5,,0,No Explanation
154,A,False,0.14693934759958166,0.5,,0,No Explanation
155,E,False,0.4268790684494658,0.5,,0,No Explanation
156,A,False,0.0638388174790821,0.5,,0,No Explanation
157,A,False,0.05676733686581261,0.5,,0,No Explanation
158,C,False,0.1870620491750248,0.5,,0,No Explanation
159,B,False,0.21756388292075832,0.5,,0,No Explanation
160,B,True,0.1965613067007419,0.5,,0,No Explanation
161,A,True,0.09370943993499424,0.5,,0,No Explanation
162,A,False,0.11635674976567777,0.5,,0,No Explanation
163,A,False,0.05538444371571532,0.5,,0,No Explanation
164,D,False,0.12419188267068118,0.5,,0,No Explanation
165,D,False,0.34556333910443326,0.5,,0,No Explanation
166,B,False,0.12779790553941203,0.5,,0,No Explanation
167,F,False,0.35082897652159034,0.5,,0,No Explanation
168,C,False,0.11319077794394446,0.5,,0,No Explanation
169,D,False,0.18148093909733856,0.5,,0,No Explanation
170,A,False,0.06582382266171878,0.5,,0,No Explanation
171,B,False,0.15294648484043208,0.5,,0,No Explanation
172,C,False,0.29434057434108557,0.5,,0,No Explanation
173,A,False,0.09673363980113692,0.5,,0,No Explanation
174,A,False,0.07758496904613271,0.5,,0,No Explanation
175,C,False,0.05369338054894657,0.5,,0,No Explanation
176,C,True,0.27885572170746936,0.5,,0,No Explanation
177,B,False,0.14111473343619524,0.5,,0,No Explanation
178,A,False,0.13682466494597167,0.5,,0,No Explanation
179,C,False,0.06350994094283025,0.5,,0,No Explanation
180,A,False,0.028111027458853546,0.5,,0,No Explanation
181,A,False,0.13641213569739893,0.5,,0,No Explanation
182,C,False,0.19835831734435075,0.5,,0,No Explanation
183,A,False,0.040884473495778895,0.5,,0,No Explanation
184,A,False,0.018673462912673158,0.5,,0,No Explanation
185,B,False,0.0841658424713137,0.5,,0,No Explanation
186,B,False,0.1930755782303154,0.5,,0,No Explanation
187,B,False,0.15154601990057565,0.5,,0,No Explanation
188,G,True,0.5015345338401491,0.5,0.2704467823349372,1,term:: 36 months from 0.0 to 1.0
188,G,True,0.5015345338401491,0.5,0.2704467823349372,1,term:: 60 months from 1.0 to 0.0
188,G,True,0.5015345338401491,0.5,0.38878711010122,2,fico_range_high from 664.0 to 699.6428999999999
